frame,left_knee_flexion,right_knee_flexion,left_hip_flexion,right_hip_flexion,left_ankle_flexion,right_ankle_flexion
358,140.94478,175.13422,159.1891,179.23228,116.614174,120.32368
359,115.21399,145.39374,114.236885,162.52669,96.53219,81.93903
360,154.06378,177.11635,161.38512,179.67433,110.48641,106.80853
361,179.11308,160.56746,176.47096,162.70552,99.03895,111.617355
362,179.31642,170.47034,175.74931,165.00253,174.99852,102.9837
363,177.93256,176.00648,173.78806,162.95595,167.03827,128.88576
364,178.67337,178.11902,175.49997,162.45343,162.65718,118.31723
365,178.29245,175.8161,173.99857,162.03125,163.48407,118.91966
366,178.15834,175.42502,175.91808,160.9334,166.39836,129.41473
367,178.88934,172.48534,173.10507,163.50429,172.46092,122.63869
368,179.714,175.22655,172.8434,164.45618,169.59227,121.6243
369,179.86153,179.04385,170.76949,164.86859,173.63991,125.91296
370,178.26031,177.66592,169.94849,166.15685,177.85287,124.37878
371,176.3226,176.86436,169.33485,170.27089,172.32695,128.84059
372,174.54643,179.37566,166.75215,179.28426,150.87619,129.09888
373,171.12712,178.66953,166.32959,173.68576,152.14386,108.38992
374,166.78172,176.55081,167.47115,140.30612,150.06529,135.5913
375,179.79536,162.56209,142.9412,172.21886,114.50968,156.51668
376,179.28317,156.22966,147.48868,172.84567,111.27177,156.72215
377,173.05603,153.442,153.2348,176.06625,137.21959,156.30797
378,159.04425,175.36966,171.64557,148.18365,155.38853,135.02701
379,163.54518,171.01474,172.76045,154.68515,170.50484,119.56935
380,147.25136,175.327,166.14801,139.7737,127.982315,143.1689
381,137.76839,172.55315,172.47726,145.28847,78.07186,132.76775
382,149.19757,173.65445,177.73064,153.2415,109.82222,106.37479
383,166.84563,176.7043,171.31673,162.63365,117.179474,91.298676
384,169.22838,177.40157,172.77943,173.57834,150.46117,152.61632
385,173.44499,169.58788,171.6259,169.00041,151.246,141.12488
386,160.82677,159.39673,176.51315,176.2297,178.56386,152.02032
387,155.34143,179.47548,179.55237,177.1845,143.50731,169.22253
388,154.04921,174.42722,177.7994,172.92445,106.19455,128.29314
389,157.75864,156.28958,178.36147,177.07838,169.59143,91.683014
390,157.03935,178.04445,176.39522,178.34152,131.63354,147.21747
391,153.25156,156.57068,177.1797,176.18585,116.656425,125.30769
